date,approve,disapprove
1/22/17,45,45
1/23/17,45,46
1/24/17,44.05,45.1
1/25/17,43.1,41.93333333
1/26/17,43.8,47.2
1/27/17,43.25,47.75
1/28/17,43.7,48.5
1/29/17,45.6,47.55
1/30/17,45.93333333,48.93333333
1/31/17,43.76666667,47.63333333
2/1/17,44,49.95
2/2/17,42.86,49.68
2/3/17,44.45,48.85
2/4/17,44.55,47.675
2/5/17,44.625,49.2
2/6/17,43.36666667,49.83333333
2/7/17,42.875,48.9
2/8/17,43.16666667,49.86666667
2/9/17,43.6,49.46666667
2/10/17,43.85,50.3
2/11/17,43.35,51.25
2/12/17,42.26,52.28
2/13/17,42.76666667,49.83333333
2/14/17,41.575,50.9
2/15/17,42.26666667,51.46666667
2/16/17,40.3,52.4
2/17/17,43.275,51.775
2/18/17,41.825,50.275
2/19/17,41.38333333,51.91666667
2/20/17,42.375,50.975
2/21/17,42.03333333,51
2/22/17,43.6,47.82
2/23/17,44.26666667,51.1
2/24/17,42.03333333,50.33333333
2/25/17,42.03333333,50.63333333
2/26/17,43.2,50.73333333
2/27/17,43.03333333,50.43333333
2/28/17,43.7,49.13333333
3/1/17,43.175,50.3
3/2/17,44.95,48.7
3/3/17,44.2,48.9
3/4/17,43.08,50.24
3/5/17,44.76,48.54
3/6/17,42.65,47.25
3/7/17,42.9,49.5
3/8/17,43.76666667,49.2
3/9/17,44.25,49.575
3/10/17,44.23333333,48.4
3/11/17,44.725,49.225
3/12/17,41.42,52.56
3/13/17,42.96666667,50.43333333
3/14/17,42.1,50.63333333
3/15/17,41.83333333,51.23333333
3/16/17,42.64,52.4
3/17/17,42.46666667,50.26666667
3/18/17,40.46666667,52.46666667
3/19/17,41.93333333,51.4
3/20/17,42.175,51.25
3/21/17,41.825,49.425
3/22/17,41.63333333,51.73333333
3/23/17,41.6,53.5
3/24/17,42.4,51.36666667
3/25/17,41.66666667,50.96666667
3/26/17,39.73333333,52.6
3/27/17,40.1,52.38
3/28/17,39.28,52.04
3/29/17,38.6,55.02
3/30/17,40.1,52.9
3/31/17,42.06666667,50.96666667
4/1/17,41.1,52.13333333
4/2/17,40.8,51.76666667
4/3/17,41.05,52.625
4/4/17,41.625,49.925
4/5/17,40.75,53.775
4/6/17,40.86,51.92
4/7/17,40.73333333,51.43333333
4/8/17,41.13333333,51.03333333
4/9/17,43.16666667,49.93333333
4/10/17,43.66666667,49.43333333
4/11/17,41.7,50.52
4/12/17,40.7,52.06
4/13/17,42.75,51.5
4/14/17,42.3,50.53333333
4/15/17,42.56666667,50.23333333
4/16/17,44.4,50.2
4/17/17,42.1,52.25
4/18/17,40.23333333,54.33333333
4/19/17,42,50.36666667
4/20/17,41.51428571,52.32857143
4/21/17,42.6,50.6
4/22/17,40.05,53.8
4/23/17,42,51.375
4/24/17,40.425,52.225
4/25/17,40.91666667,51.15
4/26/17,40.56666667,52.5
4/27/17,40.7,54.64
4/28/17,42.3,49.73333333
4/29/17,40.86666667,51.53333333
4/30/17,42.33333333,51.56666667
5/1/17,42.2,51.63333333
5/2/17,42.1,49.9
5/3/17,41.7,50.8
5/4/17,41.84,52.14
5/5/17,40.9,52.3
5/6/17,40.76666667,51.3
5/7/17,42.3,50.3
5/8/17,39.93333333,52.2
5/9/17,41.625,50.475
5/10/17,39.33333333,52.13333333
5/11/17,41.5,53.225
5/12/17,40.03333333,52.9
5/13/17,38.975,54.175
5/14/17,38.63333333,54.5
5/15/17,38.53333333,54.53333333
5/16/17,38.2,53.375
5/17/17,38.675,54.125
